date,ocean_ph,ocean_ph_yearly_average,location
1988-10-31,8.1097,,Hawaii
1988-12-02,8.1092,,Hawaii
1989-01-08,8.1168,,Hawaii
1989-02-26,8.1316,,Hawaii
1989-03-27,8.1218,,Hawaii
1989-05-18,8.1158,,Hawaii
1989-06-24,8.1018,,Hawaii
1989-07-29,8.0991,,Hawaii
1989-08-24,8.093,,Hawaii
1989-09-22,8.099,,Hawaii
1989-10-18,8.0858,,Hawaii
1989-11-27,8.1101,8.1091,Hawaii
1990-01-05,8.1332,8.1101,Hawaii
1990-02-15,8.1229,8.1107,Hawaii
1990-03-19,8.134,8.1107,Hawaii
1990-04-13,8.1229,8.1112,Hawaii
1990-05-09,8.1167,8.1113,Hawaii
1990-06-13,8.1232,8.112,Hawaii
1990-07-25,8.1084,8.1137,Hawaii
1990-09-14,8.085,8.1138,Hawaii
1990-12-18,8.1212,8.1145,Hawaii
1991-02-03,8.1256,8.1137,Hawaii
1991-03-07,8.1263,8.1138,Hawaii
1991-04-10,8.1231,8.1133,Hawaii
1991-05-08,8.1144,8.1131,Hawaii
1991-06-05,8.1139,8.1128,Hawaii
1991-07-10,8.112,8.1122,Hawaii
1991-08-10,8.0992,8.112,Hawaii
1991-09-18,8.0943,8.1125,Hawaii
1991-10-21,8.0981,8.1128,Hawaii
1991-12-07,8.104,8.1118,Hawaii
1992-01-05,8.1177,8.111,Hawaii
1992-02-15,8.1256,8.1107,Hawaii
1992-03-06,8.119,8.1105,Hawaii
1992-04-17,8.1099,8.1094,Hawaii
1992-06-09,8.1152,8.109,Hawaii
1992-07-05,8.0977,8.1085,Hawaii
1992-08-05,8.0956,8.1076,Hawaii
1992-09-23,8.0933,8.1073,Hawaii
1992-10-20,8.087,8.1068,Hawaii
1992-11-24,8.1052,8.1064,Hawaii
1992-12-16,8.1161,8.1068,Hawaii
1993-01-20,8.1349,8.1077,Hawaii
1993-02-17,8.1325,8.1085,Hawaii
1993-04-15,8.1074,8.109,Hawaii
1993-05-21,8.1105,8.1087,Hawaii
1993-09-15,8.0802,8.1069,Hawaii
1993-10-30,8.094,8.1065,Hawaii
1994-01-20,8.1508,8.1086,Hawaii
1994-02-17,8.1357,8.1093,Hawaii
1994-03-09,8.1204,8.1093,Hawaii
1994-06-19,8.1021,8.1094,Hawaii
1994-07-25,8.0858,8.109,Hawaii
1994-08-30,8.0883,8.1088,Hawaii
1994-09-23,8.0875,8.1092,Hawaii
1994-10-15,8.088,8.1093,Hawaii
1994-11-19,8.1048,8.1092,Hawaii
1995-02-06,8.1099,8.1036,Hawaii
1995-03-04,8.1171,8.1022,Hawaii
1995-04-06,8.1038,8.1015,Hawaii
1995-05-07,8.1149,8.1012,Hawaii
1995-07-30,8.0937,8.1023,Hawaii
1995-08-29,8.0933,8.1028,Hawaii
1995-09-26,8.0886,8.1031,Hawaii
1995-10-27,8.0997,8.1035,Hawaii
1995-11-17,8.1135,8.104,Hawaii
1996-01-17,8.1074,8.1046,Hawaii
1996-03-27,8.1122,8.1042,Hawaii
1996-04-24,8.1066,8.1044,Hawaii
1996-05-22,8.0946,8.1035,Hawaii
1996-06-26,8.0902,8.1021,Hawaii
1996-07-27,8.0889,8.1014,Hawaii
1996-08-21,8.0829,8.1009,Hawaii
1996-10-02,8.0836,8.1,Hawaii
1996-10-30,8.0924,8.0993,Hawaii
1996-12-11,8.1014,8.0978,Hawaii
1997-01-08,8.1102,8.0975,Hawaii
1997-02-18,8.0856,8.0963,Hawaii
1997-03-12,8.1138,8.0957,Hawaii
1997-04-09,8.1155,8.0959,Hawaii
1997-05-07,8.101,8.0961,Hawaii
1997-06-04,8.1058,8.0967,Hawaii
1997-07-09,8.0895,8.0973,Hawaii
1997-08-02,8.089,8.0973,Hawaii
1997-09-25,8.0805,8.0974,Hawaii
1997-12-05,8.1083,8.098,Hawaii
1998-01-11,8.1097,8.0983,Hawaii
1998-02-19,8.1135,8.0999,Hawaii
1998-03-18,8.1044,8.1003,Hawaii
1998-04-15,8.1078,8.0997,Hawaii
1998-05-13,8.105,8.0997,Hawaii
1998-06-17,8.0937,8.0993,Hawaii
1998-07-15,8.0805,8.0988,Hawaii
1998-08-10,8.0818,8.0983,Hawaii
1998-09-28,8.076,8.0976,Hawaii
1998-10-19,8.0818,8.0972,Hawaii
1998-11-11,8.0825,8.0964,Hawaii
1998-12-09,8.0948,8.0952,Hawaii
1999-01-13,8.0895,8.0936,Hawaii
1999-02-18,8.0997,8.0919,Hawaii
1999-03-17,8.135,8.0926,Hawaii
1999-04-14,8.123,8.0943,Hawaii
1999-05-10,8.1,8.0946,Hawaii
1999-07-14,8.0938,8.0951,Hawaii
1999-08-13,8.0759,8.0953,Hawaii
1999-10-15,8.0711,8.0945,Hawaii
1999-11-09,8.0824,8.0941,Hawaii
1999-12-15,8.0818,8.0934,Hawaii
2000-02-03,8.0966,8.093,Hawaii
2000-03-01,8.0946,8.0925,Hawaii
2000-03-29,8.0942,8.0899,Hawaii
2000-04-26,8.0941,8.0878,Hawaii
2000-05-25,8.0677,8.0861,Hawaii
2000-06-21,8.0831,8.0845,Hawaii
2000-07-26,8.0872,8.0837,Hawaii
2000-08-23,8.0827,8.0842,Hawaii
2000-10-18,8.0678,8.0845,Hawaii
2000-11-30,8.095,8.0847,Hawaii
2000-12-20,8.0922,8.0854,Hawaii
2001-01-17,8.0929,8.0857,Hawaii
2001-02-14,8.0881,8.0854,Hawaii
2001-03-21,8.0894,8.0848,Hawaii
2001-04-18,8.0938,8.0846,Hawaii
2001-05-16,8.0948,8.0851,Hawaii
2001-06-14,8.0984,8.087,Hawaii
2001-07-11,8.0857,8.0876,Hawaii
2001-08-08,8.0757,8.0872,Hawaii
2001-10-02,8.068,8.0861,Hawaii
2001-10-23,8.0885,8.0866,Hawaii
2001-11-17,8.0814,8.087,Hawaii
2001-12-14,8.0925,8.0866,Hawaii
2002-01-16,8.0959,8.0867,Hawaii
2002-02-21,8.108,8.0879,Hawaii
2002-03-13,8.1085,8.089,Hawaii
2002-05-21,8.0811,8.0894,Hawaii
2002-06-29,8.071,8.0872,Hawaii
2002-08-28,8.0706,8.0857,Hawaii
2002-10-07,8.0862,8.0866,Hawaii
2002-11-04,8.0876,8.0868,Hawaii
2002-11-25,8.0876,8.0871,Hawaii
2002-12-19,8.0937,8.0872,Hawaii
2003-01-17,8.1025,8.0875,Hawaii
2003-02-26,8.104,8.0875,Hawaii
2003-03-29,8.1016,8.0872,Hawaii
2003-04-24,8.0963,8.0873,Hawaii
2003-05-21,8.0905,8.0878,Hawaii
2003-06-20,8.0824,8.0886,Hawaii
2003-07-20,8.0777,8.0893,Hawaii
2003-08-21,8.0829,8.0902,Hawaii
2003-10-15,8.0873,8.0911,Hawaii
2003-11-10,8.0884,8.0912,Hawaii
2003-12-20,8.1134,8.0924,Hawaii
2004-01-22,8.0967,8.093,Hawaii
2004-02-25,8.1096,8.093,Hawaii
2004-03-20,8.1244,8.0939,Hawaii
2004-04-21,8.0988,8.0949,Hawaii
2004-05-19,8.0878,8.0948,Hawaii
2004-06-16,8.0852,8.0948,Hawaii
2004-07-13,8.0701,8.0946,Hawaii
2004-08-16,8.071,8.0937,Hawaii
2004-09-29,8.0705,8.0921,Hawaii
2004-10-31,8.0836,8.0912,Hawaii
2004-11-28,8.0898,8.0908,Hawaii
2004-12-21,8.0992,8.0899,Hawaii
2005-02-02,8.0963,8.0893,Hawaii
2005-03-05,8.1065,8.0888,Hawaii
2005-05-18,8.0899,8.0871,Hawaii
2005-06-15,8.0809,8.087,Hawaii
2005-07-17,8.0664,8.0867,Hawaii
2005-08-14,8.0751,8.0868,Hawaii
2005-09-10,8.0601,8.0865,Hawaii
2005-10-09,8.0777,8.0863,Hawaii
2005-11-12,8.0843,8.0863,Hawaii
2005-12-13,8.0888,8.086,Hawaii
2006-01-25,8.1135,8.0864,Hawaii
2006-02-15,8.0953,8.0867,Hawaii
2006-03-10,8.1084,8.0866,Hawaii
2006-04-02,8.104,8.0868,Hawaii
2006-05-27,8.0901,8.0873,Hawaii
2006-06-14,8.0646,8.0869,Hawaii
2006-07-13,8.0804,8.0868,Hawaii
2006-08-09,8.0723,8.0873,Hawaii
2006-09-16,8.077,8.088,Hawaii
2006-10-21,8.0679,8.0879,Hawaii
2006-11-09,8.0772,8.0874,Hawaii
2006-12-10,8.0908,8.0872,Hawaii
2007-02-07,8.1047,8.0866,Hawaii
2007-03-21,8.0973,8.0863,Hawaii
2007-05-05,8.0808,8.0848,Hawaii
2007-07-08,8.0631,8.0834,Hawaii
2007-08-04,8.066,8.0824,Hawaii
2007-09-03,8.0616,8.0816,Hawaii
2007-10-03,8.0639,8.0806,Hawaii
2007-12-02,8.0678,8.0789,Hawaii
2007-12-21,8.0856,8.0782,Hawaii
2008-01-30,8.0957,8.0774,Hawaii
2008-02-24,8.0957,8.0769,Hawaii
2008-05-28,8.0694,8.0753,Hawaii
2008-06-26,8.0735,8.0754,Hawaii
2008-07-27,8.0635,8.0757,Hawaii
2008-08-17,8.0729,8.0759,Hawaii
2008-10-11,8.0799,8.0779,Hawaii
2008-12-01,8.0816,8.08,Hawaii
2009-01-21,8.0996,8.0808,Hawaii
2009-02-18,8.1084,8.0814,Hawaii
2009-04-29,8.0898,8.0837,Hawaii
2009-05-28,8.0693,8.0842,Hawaii
2009-07-04,8.0676,8.0839,Hawaii
2009-07-25,8.0584,8.0836,Hawaii
2009-08-19,8.0614,8.083,Hawaii
2009-09-25,8.0541,8.0812,Hawaii
2009-11-04,8.0667,8.0791,Hawaii
2009-12-10,8.0801,8.0783,Hawaii
2010-03-10,8.0969,8.0757,Hawaii
2010-04-07,8.0968,8.0755,Hawaii
2010-05-19,8.0839,8.0758,Hawaii
2010-06-09,8.0688,8.0762,Hawaii
2010-07-09,8.0703,8.0763,Hawaii
2010-08-08,8.0785,8.0774,Hawaii
2010-09-04,8.0691,8.0784,Hawaii
2010-10-04,8.0651,8.0793,Hawaii
2010-11-21,8.0715,8.0798,Hawaii
2011-01-29,8.0891,8.0794,Hawaii
2011-03-01,8.0918,8.0792,Hawaii
2011-04-12,8.0885,8.0785,Hawaii
2011-05-10,8.0797,8.078,Hawaii
2011-07-20,8.0696,8.0781,Hawaii
2011-08-30,8.0717,8.0776,Hawaii
2011-09-27,8.0645,8.0776,Hawaii
2011-11-05,8.0674,8.0775,Hawaii
2011-11-29,8.0802,8.0777,Hawaii
2011-12-20,8.0811,8.0779,Hawaii
