id,name,unit,notes
1,Biofuels Production - Kboed,Thousand b/doe,"Notes: Consumption of fuel ethanol and biodiesel is included in oil consumption tables. 

 Annual changes and shares of total are calculated using thousand barrels a day oil equivalent figures."
2,Biofuels Production - Ktoe,Thousand tonnes oil equivalent,"Notes: Consumption of fuel ethanol and biodiesel is included in oil consumption tables. 

 Annual changes and shares of total are calculated using thousand tonnes a day oil equivalent figures."
3,Carbon Dioxide Emissions,Million tonnes of carbon dioxide," Notes: The carbon emissions above reflect only those through consumption of oil, gas and coal for combustion related activities, and are based on  'Default CO2 Emissions Factors for Combustion' listed by the IPCC in its Guidelines for National Greenhouse Gas Inventories (2006).   This does not allow for any carbon that is sequestered, for other sources of carbon emissions, or for emissions of other greenhouse gases.   Our data is therefore not comparable to official national emissions data."
4,Coal - Prices,US dollars per tonne,Note:  CAPP = Central Appalachian; CIF = cost+insurance+freight (average prices); FOB = free on board.
5,Coal - Reserves - Anthracite and bituminous,Million tonnes,"Notes: Total proved reserves of coal- Generally taken to be those quantities that geological and engineering information indicates with reasonable certainty  can be recovered in the future from known reservoirs under existing economic and operating conditions. The data series for total proved coal reserves does not necessarily  meet the definitions, guidelines and practices used for determining proved reserves at company level, for instance as published by the US Securities and Exchange Commission,  nor does it necessarily represent BP’s view of proved reserves by country.  Reserves-to-production (R/P) ratio - If the reserves remaining at the end of any year are divided by the production in that year, the result is the length of time that those remaining reserves would last if production were to continue at that rate. Reserves-to-production (R/P) ratios are calculated excluding other solid fuels in reserves and production. Shares of total and R/P ratios are calculated using million tonnes figures."
6,Coal - Reserves - Sub-bituminous and lignite,Million tonnes,"Notes: Total proved reserves of coal- Generally taken to be those quantities that geological and engineering information indicates with reasonable certainty  can be recovered in the future from known reservoirs under existing economic and operating conditions. The data series for total proved coal reserves does not necessarily  meet the definitions, guidelines and practices used for determining proved reserves at company level, for instance as published by the US Securities and Exchange Commission,  nor does it necessarily represent BP’s view of proved reserves by country.  Reserves-to-production (R/P) ratio - If the reserves remaining at the end of any year are divided by the production in that year, the result is the length of time that those remaining reserves would last if production were to continue at that rate. Reserves-to-production (R/P) ratios are calculated excluding other solid fuels in reserves and production. Shares of total and R/P ratios are calculated using million tonnes figures."
7,Coal - Reserves - Total,Million tonnes,"Notes: Total proved reserves of coal- Generally taken to be those quantities that geological and engineering information indicates with reasonable certainty  can be recovered in the future from known reservoirs under existing economic and operating conditions. The data series for total proved coal reserves does not necessarily  meet the definitions, guidelines and practices used for determining proved reserves at company level, for instance as published by the US Securities and Exchange Commission,  nor does it necessarily represent BP’s view of proved reserves by country.  Reserves-to-production (R/P) ratio - If the reserves remaining at the end of any year are divided by the production in that year, the result is the length of time that those remaining reserves would last if production were to continue at that rate. Reserves-to-production (R/P) ratios are calculated excluding other solid fuels in reserves and production. Shares of total and R/P ratios are calculated using million tonnes figures."
8,Coal Consumption - Mtoe,Million tonnes oil equivalent,"Notes:  Differences between these consumption figures and the world production statistics are accounted for by stock changes, and unadvoidable disparities in the definition, measurement or conversion of coal supply and demand data. Annual changes and share of total are calculated using million tonnes oil equivalent figures."
9,Coal Production - Mtoe,Million tonnes oil equivalent,Notes: Annual changes and shares of total are calculated using million tonnes oil equivalent figures.
10,Coal Production - Tonnes,Million tonnes ,Notes: Annual changes and shares of total are calculated using million tonnes figures.
11,Electricity Generation ,Terawatt-hours,Notes: Annual changes and share of total are calculated using terawatt-hours figures.
12,Gas - Prices ,US dollars per million Btu, Note: cif = cost+insurance+freight (average prices).
13,Gas - Proved reserves,Trillion cubic metres,"Notes: Total proved reserves of natural gas - Generally taken to be those quantities that geological and engineering information indicates with reasonable certainty  can be recovered in the future from known reservoirs under existing economic and operating conditions. The data series for total proved natural gas does not necessarily  meet the definitions, guidelines and practices used for determining proved reserves at company level, for instance as published by the US Securities and Exchange Commission,  nor does it necessarily represent BP’s view of proved reserves by country.  Reserves-to-production (R/P) ratio - If the reserves remaining at the end of any year are divided by the production in that year, the result is the length of time that those remaining reserves would last if production were to continue at that rate. As far as possible, the data above represents standard cubic metres (measured at 15ºC and 1013 mbar) and has been standardized using a Gross Calorific Value (GCV) of 40 MJ/m3. Source of data - The estimates in this table have been compiled using a combination of primary official sources and third-party data from Cedigaz and the OPEC Secretariat."
14,Gas - Proved reserves history ,Trillion cubic metres,"Notes: Total proved reserves of natural gas - Generally taken to be those quantities that geological and engineering information indicates with reasonable certainty  can be recovered in the future from known reservoirs under existing economic and operating conditions. The data series for natural gas does not necessarily  meet the definitions, guidelines and practices used for determining proved reserves at company level, for instance as published by the US Securities and Exchange Commission,  nor does it necessarily represent BP’s view of proved reserves by country.  Reserves-to-production (R/P) ratio - If the reserves remaining at the end of any year are divided by the production in that year, the result is the length of time   that those remaining reserves would last if production were to continue at that rate. As far as possible, the data above represents standard cubic metres (measured at 15ºC and 1013 mbar) and has been standardized using a Gross Calorific Value (GCV) of 40 MJ/m3. Source of data - The estimates in this table have been compiled using a combination of primary official sources and third-party data from Cedigaz and the OPEC Secretariat. Annual changes and share of total are calculated using trillion cubic metres."
15,Gas Consumption - Bcf,Billion cubic feet per day,"Notes: The difference between these world consumption figures and the world production statistics is due to variations in stocks at storage facilities and liquefaction plants, together with unavoidable disparities in the definition, measurement or conversion of gas supply and demand data. Annual changes and shares of total are calculated using billion cubic feet per day figures."
16,Gas Consumption - Bcm,Billion cubic metres,"Notes: As far as possible, the data above represents standard cubic metres (measured at 15oC and 1013 mbar); as they are derived directly from tonnes of oil equivalent using an average conversion factor and have been standardized using a Gross Calorific Value (GCV) of 40 MJ/m3,  they do not necessarily equate with gas volumes expressed in specific national terms. The difference between these world consumption figures and the world production statistics is due to variations in stocks at storage facilities and liquefaction plants, together with unavoidable disparities in the definition, measurement or conversion of gas supply and demand data. Annual changes and shares of total are calculated using billion cubic metres figures."
17,Gas Consumption - Mtoe,Million tonnes oil equivalent,"Notes: The difference between these world consumption figures and the world production statistics is due to variations in stocks at storage facilities and liquefaction plants, together with unavoidable disparities in the definition, measurement or conversion of gas supply and demand data. Annual changes and share of total are calculated using million tonnes oil equivalent figures."
18,Gas Production - Bcf,Billion cubic feet per day,"Notes: As the data above are derived from tonnes oil equivalent using average conversion factors, they do not necessarily equate with gas volumes expressed in specific national terms. Annual changes and shares of total are calculated using billion cubic feet per day figures."
