id,name,dataset_id,description
0,Robert J. Barro and Jong-Wha Lee,,"{""link"": ""http://www.barrolee.com/""}"
1,Demographic and Health Surveys (DHS),,{}
2,World Bank staff calculations based on Multiple Indicator Cluster Survey (MICS) data,,{}
3,Multiple Indicator Cluster Surveys (MICS),,{}
4,"International Telecommunication Union, World Telecommunication/ICT Development Report and database",,{}
5,Early Grade Reading Assessment (EGRA),,"{""link"": ""https://www.eddataglobal.org/reading/""}"
6,Latin American Laboratory for Assessment of the Quality of Education (LLECE),,{}
7,Programme d'Analyse des Systèmes Educatifs de la CONFEMEN/Program for the Analysis of CONFEMEN Education Systems (PASEC),,"{""link"": ""http://www.pasec.confemen.org/""}"
8,OECD Programme for the International Assessment of Adult Competencies (PIAAC),,{}
9,International Association for the Evaluation of Educational Achievement (IEA) Progress in International Reading Literacy Study (PIRLS),,{}
10,OECD Programme for International Student Assessment (PISA),,{}
11,"Southern and Eastern Africa Consortium for Monitoring Educational Quality (SACMEQ) Data Archive, www.sacmeq.org",,{}
12,International Association for the Evaluation of Educational Achievement (IEA)'s Trends in International Mathematics and Science Study,,{}
13,"World Bank national accounts data, and OECD National Accounts data files",,{}
14,"World Bank, International Comparison Program database",,{}
15,Organisation for Economic Co-operation and Development (OECD),,{}
16,Wittgenstein Centre for Demography and Global Human Capital,,"{""link"": ""http://www.oeaw.ac.at/vid/dataexplorer/""}"
17,"Systems Approach for Better Education Results (SABER), World Bank",,{}
18,UNESCO Institute for Statistics,,{}
19,UNAIDS estimates,,{}
20,"Estimates Developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org",,{}
21,"International Labour Organization, ILOSTAT database. Data retrieved in March 2017",,{}
22,"Derived using data from International Labour Organization, ILOSTAT database and World Bank population estimates. Labor data retrieved in November 2017",,{}
23,"International Labour Organization, Key Indicators of the Labour Market database",,{}
24,"International Labour Organization, ILOSTAT database. Data retrieved in November 2017",,{}
25,World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects,,{}
26,World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects,,{}
27,UNESCO Institute for Statistics (Derived),,{}
28,UNESCO Institute for Statistics,,{}
29,"Derived from total population. Population source: (1) United Nations Population Division. World Population Prospects, (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme",,{}
30,"(1) United Nations Population Division. World Population Prospects, (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Report (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme",,{}
31,World Bank EdStats(2020),0,"{""dataPublishedBy"": ""World Bank"", ""dataPublisherSource"": [""World Bank EdStats""], ""link"": ""https://datacatalog.worldbank.org/dataset/education-statistics"", ""retrievedDate"": ""August 25, 2021""}"
